API_Gravity,GOR,Color,Crude_Type
24.9816047538945,777.6993932579295,dark,heavy
48.02857225639664,1312.851421067537,dark,heavy
39.2797576724562,1809.4187538146125,dark,heavy
33.946339367881464,1598.3373296143418,medium,heavy
16.24074561769746,1709.8417217921747,medium,heavy
16.239780813448107,1488.175050066076,medium,heavy
12.32334448672798,1538.4148467767786,dark,heavy
44.647045830997406,1773.793477347979,medium,light
34.04460046972835,874.5020132887789,light,heavy
38.32290311184182,1234.1374454647107,light,medium
10.823379771832098,831.8141627294033,medium,heavy
48.79639408647977,1981.5020119949704,light,light
43.29770563201687,1916.0890095299198,light,light
18.493564427131048,559.1402170527589,dark,heavy
17.272998688284027,1558.3627587735327,medium,heavy
17.33618039413735,1887.8724761234987,medium,heavy
22.16968971838151,770.8630176910003,dark,heavy
30.990257265289515,1351.9178458289443,light,medium
27.27780074568463,1873.2324463820628,light,heavy
21.649165607921677,550.9189678786983,medium,heavy
34.474115788895176,1546.1304008702598,light,heavy
15.579754426081674,946.0235110588262,dark,heavy
21.685785941408724,1886.5942930647957,dark,heavy
24.654473731747668,1956.5873677480517,medium,heavy
28.24279936868144,1916.399733670151,dark,heavy
41.407038455720546,1211.3213249861956,dark,heavy
17.98695128633439,1793.0639764839702,medium,heavy
30.569377536544465,1766.8240978026056,dark,heavy
33.696582754481696,978.6507098648834,dark,heavy
11.85801650879991,1743.373211226016,dark,heavy
34.30179407605753,555.511452073239,light,heavy
16.82096494749166,1394.4048177230795,medium,heavy
12.60206371941118,845.0132559315546,medium,heavy
47.95542149013333,680.8503286659183,medium,heavy
48.625281322982374,615.4298024438137,light,heavy
42.33589392465844,1544.4331638172096,light,light
22.184550766934827,1009.8124456520992,medium,medium
13.906884560255355,1587.1501572931422,light,heavy
37.36932106048627,598.0345111984136,medium,heavy
27.606099749584054,972.9355067459155,light,heavy
14.881529393791153,1309.2369385630059,dark,heavy
29.807076404450807,1686.0847472584453,dark,heavy
11.375540844608736,978.1287543981049,medium,heavy
46.372816083151285,1438.8370646555136,light,heavy
20.351199264000677,1828.9666223542806,light,heavy
36.50089137415928,1423.7947822734568,dark,medium
22.46844304357644,849.4392121304506,dark,heavy
30.802720847112433,536.6011723348071,light,heavy
31.868411173731186,1805.1483108513949,light,heavy
17.394178221021082,531.9041162755807,light,heavy
48.783385110582344,1812.052509026299,light,light
41.00531293444458,1293.405701040818,light,heavy
47.579957662567566,1908.6015477693443,light,light
45.79309401710595,1698.174853660498,medium,light
33.915999152443405,1996.9011658000063,light,heavy
46.87496940092467,1026.0677231775653,dark,heavy
13.53970008207678,1650.7824333966903,medium,heavy
17.83931449676581,1102.8963704138632,light,heavy
11.809091556421523,1219.8134304558632,dark,heavy
23.013213230530575,1441.2581948275551,medium,medium
25.54709158757928,1810.515671279508,dark,heavy
20.853961270955836,1976.1252037989427,light,heavy
43.14950036607718,1652.4101207967774,light,light
24.270133067743572,1126.6501732510005,light,medium
21.23738038749523,1132.0355034156053,light,medium
31.70784332632994,1606.3734523833373,medium,heavy
15.636968998990506,858.1657186524535,medium,heavy
42.08787923016159,665.7111696970919,dark,heavy
12.982025747190832,1031.9332364611648,light,heavy
49.47547746402069,930.8584874811227,dark,heavy
40.889790771866295,944.4621806839851,medium,heavy
17.948627261366894,850.4116265748648,light,heavy
10.220884684944096,563.1397844545428,light,heavy
42.618457138193364,526.8109021001208,medium,heavy
38.274293753904686,1981.5835846040472,medium,heavy
39.160286721639494,1141.6597006037937,medium,medium
40.85081386743783,1076.4899707395225,medium,heavy
12.961786069363615,1519.4709240396046,medium,heavy
24.338629141770905,827.3808317975963,light,heavy
14.634762381005189,1924.941775925338,medium,heavy
44.52413703502374,1679.517521623328,light,light
34.93192507310232,634.1165034683893,light,heavy
23.235920994105967,1126.3711636773926,medium,medium
